Grid.Count,Grid.Color
13,0-5%
14,0-5%
5,0-5%
11,0-5%
19,0-5%
20,0-5%
16,0-5%
8,0-5%
16,0-5%
1,0-5%
7,0-5%
10,0-5%
7,0-5%
27,6-25%
26,6-25%
21,6-25%
27,6-25%
22,6-25%
41,6-25%
62,6-25%
35,6-25%
42,6-25%
23,6-25%
101,26-50%
143,26-50%
50,26-50%
100,26-50%
171,26-50%
183,26-50%
93,26-50%
74,26-50%
547,51-75%
410,51-75%
613,51-75%
218,51-75%
390,51-75%
443,51-75%
410,51-75%
190,51-75%
550,51-75%
435,76-100%
498,76-100%
579,76-100%
637,76-100%
591,76-100%
670,76-100%
578,76-100%
474,76-100%
424,76-100%
431,76-100%
444,76-100%
509,76-100%
561,76-100%
511,76-100%
